Uniprot Entry,Brain Part
Synpo2,Thalamus
Slc1a6,Thalamus
Strn,Thalamus
Hopx,Thalamus
Rps6ka1,Thalamus
Cdc42ep4,Thalamus
Cdh15,Thalamus
Sncg,Thalamus
Asph,Thalamus
Syt2,Thalamus
Gng4,Thalamus
Calb2,Thalamus
Cyld,Thalamus
Bcr,Thalamus
Kcnb1,Thalamus
Mesdc2,Thalamus
Baiap3,Thalamus
Pde1b,Thalamus
BC026585,Thalamus
Cadps2,Thalamus
Grm3,Thalamus
Hpcal4,Thalamus
Cpne6,Thalamus
Kcnc3,Thalamus
Vim,Thalamus
Lrrtm1,Thalamus
Adcy5,Thalamus
Arpc5,Thalamus
Hcn2,Thalamus
Gpsm1,Thalamus
Cdc42ep1,Thalamus
Cacna1a,Thalamus
Akap2,Thalamus
Cpne4,Thalamus
Cast,Thalamus
Plcl1,Thalamus
Pde1a,Thalamus
Dffa,Thalamus
Prkca,Thalamus
Actn1,Thalamus
Slc12a2,Thalamus
Hpcal1,Thalamus
Slc1a3,Thalamus
0610007P14Rik,Thalamus
Necab2,Thalamus
Rdh11,Thalamus
Vat1,Thalamus
Gnal,Thalamus
Elmo2,Thalamus
Grin2b,Thalamus
Kcnip4,Thalamus
Lgi3,Thalamus
Gpr37l1,Thalamus
S1pr1,Thalamus
Msn,Thalamus
Vamp1,Thalamus
Ppp1ca,Thalamus
Ampd2,Thalamus
Gng7,Thalamus
Ccdc136,Thalamus
Itpka,Thalamus
Atp2b4,Thalamus
Cacng8,Thalamus
Hist1h4a,Thalamus
Hist1h4i,Thalamus
Hist2h4,Thalamus
H2afv,Thalamus
Hist1h2al,Thalamus
Selm,Thalamus
Mpp3,Thalamus
Shisa7,Thalamus
Tiam2,Thalamus
AW551984,Thalamus
Vat1l,Thalamus
D430041D05Rik,Thalamus
Epha4,Thalamus
Synpo,Thalamus
Hapln2,Thalamus
Itih3,Thalamus
Arhgap26,Thalamus
Phactr1,Thalamus
Dusp15,Thalamus
Nap1l5,Thalamus
Camk4,Thalamus
Scg2,Thalamus
Fbxl16,Thalamus
Pcdh1,Thalamus
Dgki,Thalamus
Gaa,Thalamus
Shisa6,Thalamus
Hn1,Thalamus
Impact,Thalamus
Chrm4,Thalamus
Hap1,Thalamus
Ppp1r1b,Thalamus
Lxn,Thalamus
Inf2,Thalamus
Adcy1,Thalamus
Gria2,Thalamus
Gria3,Thalamus
Pcsk1n,Thalamus
Inpp5a,Thalamus
Grb2,Thalamus
Pde10a,Thalamus
Ppp1r9a,Thalamus
Necab1,Thalamus
Nefh,Thalamus
Ngef,Thalamus
Ank1,Thalamus
Lgi2,Thalamus
Git2,Thalamus
Sacs,Thalamus
Sqstm1,Thalamus
Arhgdib,Thalamus
Sypl,Thalamus
Celf2,Thalamus
Hpca,Thalamus
Rab27b,Thalamus
Dek,Thalamus
Smarce1,Thalamus
Spata2l,Thalamus
Pam,Thalamus
Ahi1,Thalamus
S100b,Thalamus
Shank3,Thalamus
H1f0,Thalamus
Cbr3,Thalamus
Cox17,Thalamus
Arpp19,Thalamus
Rbbp4,Thalamus
Fabp7,Thalamus
Prkcb,Thalamus
Crym,Thalamus
Car4,Thalamus
Sgsm1,Thalamus
Maob,Thalamus
Sptb,Thalamus
Calb1,Thalamus
Pcp4l1,Thalamus
Ybx1,Thalamus
Grm2,Thalamus
H2afj,Thalamus
Hist1h4b,Thalamus
Hist1h4c,Thalamus
Hist1h4d,Thalamus
Hist1h4f,Thalamus
Hist1h4h,Thalamus
Hist1h4j,Thalamus
Hist1h4k,Thalamus
Hist1h4m,Thalamus
Hist1h4n,Thalamus
Hist4h4,Thalamus
Opalin,Thalamus
Itpr1,Thalamus
Hist1h1e,Thalamus
Dagla,Thalamus
Hist1h1b,Thalamus
Syt12,Thalamus
Nefm,Thalamus
Gad2,Thalamus
Ewsr1,Thalamus
Rims4,Thalamus
Phkb,Thalamus
Scg5,Thalamus
Hist1h2bm,Thalamus
Hist2h2bb,Thalamus
Gtf2i,Thalamus
Lyn,Thalamus
Wdr82,Thalamus
Ephb2,Thalamus
Hist1h1d,Thalamus
Nqo1,Thalamus
Nudt11,Thalamus
Nefl,Thalamus
Prepl,Thalamus
Plxna1,Thalamus
Slc7a11,Thalamus
Isoc1,Thalamus
Hebp2,Thalamus
Tmem55a,Thalamus
Hnrnpab,Thalamus
Khdrbs1,Thalamus
Hdgfrp3,Thalamus
Mprip,Thalamus
H13,Thalamus
Anp32e,Thalamus
Scg3,Thalamus
Sf3b5,Thalamus
Ddc,Thalamus
Srsf6,Thalamus
Hn1l,Thalamus
Kctd8,Thalamus
Ddah2,Thalamus
Tceal5,Thalamus
Ptprn,Thalamus
Gria1,Thalamus
Hnrnpa1,Thalamus
Tceal3,Thalamus
Ehd1,Thalamus
Ilf3,Thalamus
Eps8l2,Thalamus
Dgkz,Thalamus
Fam169a,Thalamus
Cpne3,Thalamus
Safb,Thalamus
Rps6ka2,Thalamus
Tceal6,Thalamus
Abhd16a,Thalamus
Atp1b3,Thalamus
Apip,Thalamus
Clic1,Thalamus
Ptprn2,Thalamus
A230065H16Rik,Thalamus
Tmem163,Thalamus
Mlc1,Thalamus
Nup205,Thalamus
Lpgat1,Thalamus
Nono,Thalamus
H2afy,Thalamus
Cacng2,Thalamus
Actn2,Thalamus
Stim1,Thalamus
Mecp2,Thalamus
Entpd2,Thalamus
Bnip2,Thalamus
Fubp1,Thalamus
Gm6750,Thalamus
Gm7931,Thalamus
Hmgn2,Thalamus
Hist2h2aa1,Thalamus
Hist2h2aa2,Thalamus
Eps15,Thalamus
Clic6,Thalamus
Nudt10,Thalamus
Ebp,Thalamus
H2afz,Thalamus
0610009B22Rik,Thalamus
Acot11,Thalamus
Actr3b,Thalamus
Akap5,Thalamus
Arhgef33,Thalamus
Cbx1,Thalamus
E330009J07Rik,Thalamus
Fat2,Thalamus
Gria4,Thalamus
Grm1,Thalamus
Hmgn3,Thalamus
Ildr2,Thalamus
Ipcef1,Thalamus
Isoc2a,Thalamus
LOC101055828,Thalamus
LOC632329,Thalamus
LOC637733,Thalamus
Nsmf,Thalamus
Pde2a,Thalamus
Plcb4,Thalamus
Plrg1,Thalamus
Prex1,Thalamus
Prrt1,Thalamus
Prune2,Thalamus
Psip1,Thalamus
Rmdn3,Thalamus
Serpinh1,Thalamus
Shank1,Thalamus
Slc14a1,Thalamus
Sptb,Thalamus
Srgap2,Thalamus
Srsf10,Thalamus
Tuba8,Thalamus
Vimp,Thalamus
Lmnb1,Thalamus
Rbm3,Thalamus
Hdgf,Thalamus
Hist1h1a,Thalamus
Hist3h2bb-ps,Thalamus
Hist3h2ba,Thalamus
Hist2h2ac,Thalamus
