intracellular organelle,183
membrane-bounded organelle,164
non-membrane-bounded organelle,63
mRNA editing complex,2
nuclear body,15
catalytic complex,24
nuclear protein-containing complex,34
chromosomal region,7
transporter complex,6
membrane protein complex,18
cell body,6
membrane,118
cytoplasm,6
cell projection,37
external encapsulating structure,10
cell junction,30
extrinsic component of membrane,2
intrinsic component of membrane,76
postsynaptic specialization,7
mitochondrial protein-containing complex,3
tricarboxylic acid cycle enzyme complex,1
supramolecular complex,27
microtubule organizing center,18
microtubule associated complex,3
cluster of actin-based cell projections,2
transcription regulator complex,8
cytochrome complex,1
side of membrane,7
organelle subcompartment,6
endoplasmic reticulum protein-containing complex,3
postsynapse,2
membrane-enclosed lumen,9
chromatin,4
intracellular protein-containing complex,12
DNA repair complex,3
cytosol,1
protein-lipid complex,1
ribonucleoprotein complex,11
Sm-like protein family complex,5
vesicle tethering complex,4
extracellular organelle,4
site of polarized growth,4
peptidase inhibitor complex,1
host cellular component,1
stereocilia coupling link,1
ciliary transition zone,3
leading edge membrane,3
cell pole,1
envelope,6
receptor complex,3
myofilament,1
nucleoid,1
site of DNA damage,3
cilium,4
presynapse,1
DNA packaging complex,2
mucus layer,1
spindle midzone,1
microtubule end,1
protein-DNA complex,2
actomyosin,1
myosin complex,1
actin filament bundle,1
spindle pole,1
inclusion body,1
