,0
GO:0042277,"{'GO:0033218', 'GO:0005488', 'GO:0003674'}"
GO:0004615,"{'GO:0016868', 'GO:0003674', 'GO:0003824', 'GO:0016866', 'GO:0016853'}"
GO:0016597,"{'GO:0031406', 'GO:0005488', 'GO:0003674', 'GO:0043168', 'GO:0043167'}"
GO:0035240,"{'GO:0043169', 'GO:0005488', 'GO:1901338', 'GO:0043167', 'GO:0097159', 'GO:0003674'}"
GO:0019899,"{'GO:0005515', 'GO:0005488', 'GO:0003674'}"
GO:0008199,"{'GO:0043169', 'GO:0005488', 'GO:0003674', 'GO:0046872', 'GO:0046914', 'GO:0005506', 'GO:0043167'}"
GO:0008198,"{'GO:0043169', 'GO:0005488', 'GO:0003674', 'GO:0046872', 'GO:0046914', 'GO:0005506', 'GO:0043167'}"
GO:0042802,"{'GO:0005515', 'GO:0005488', 'GO:0003674'}"
GO:0004497,"{'GO:0003824', 'GO:0003674', 'GO:0016491'}"
GO:0019825,"{'GO:0005488', 'GO:0003674', 'GO:0036094'}"
GO:0019904,"{'GO:0005515', 'GO:0005488', 'GO:0003674'}"
GO:0034617,"{'GO:1901363', 'GO:0097159', 'GO:0005488', 'GO:0003674'}"
GO:0004511,"{'GO:0003674', 'GO:0016491', 'GO:0016705', 'GO:0004497', 'GO:0003824', 'GO:0016714'}"
GO:0003847,"{'GO:0016788', 'GO:0003674', 'GO:0003824', 'GO:0016787', 'GO:0052689'}"
GO:0004067,"{'GO:0003674', 'GO:0016810', 'GO:0016811', 'GO:0003824', 'GO:0016787'}"
GO:0004622,"{'GO:0003824', 'GO:0052689', 'GO:0016788', 'GO:0016298', 'GO:0003674', 'GO:0016787', 'GO:0004620'}"
GO:0102545,"{'GO:0016788', 'GO:0003674', 'GO:0003824', 'GO:0016787', 'GO:0052689'}"
GO:0016747,"{'GO:0003824', 'GO:0016740', 'GO:0016746', 'GO:0003674'}"
GO:0005198,{'GO:0003674'}
GO:0005524,"{'GO:0005488', 'GO:0097367', 'GO:0030554', 'GO:1901265', 'GO:0035639', 'GO:0003674', 'GO:0036094', 'GO:0032553', 'GO:1901363', 'GO:0000166', 'GO:0043168', 'GO:0032555', 'GO:0043167', 'GO:0017076', 'GO:0097159', 'GO:0032559'}"
GO:0004197,"{'GO:0003824', 'GO:0140096', 'GO:0008233', 'GO:0003674', 'GO:0004175', 'GO:0008234', 'GO:0016787'}"
GO:0004843,"{'GO:0003824', 'GO:0008242', 'GO:0140096', 'GO:0008233', 'GO:0003674', 'GO:0101005', 'GO:0016787'}"
